job_title,industry,job_status,ai_impact_level,median_salary_usd,required_education,experience_required_years,job_openings_2024,projected_openings_2030,remote_work_ratio_percent,automation_risk_percent,location,gender_diversity_percent,growth_rate,risk_category
Investment analyst,IT,Increasing,Moderate,42109.76,Master’s Degree,5,1515,6342,55.96,28.28,UK,44.63,318.61386138613864,Low
"Journalist, newspaper",Manufacturing,Increasing,Moderate,132298.57,Master’s Degree,15,1243,6205,16.81,89.71,USA,66.39,399.195494770716,High
Financial planner,Finance,Increasing,Low,143279.19,Bachelor’s Degree,4,3338,1154,91.82,72.97,Canada,41.13,-65.42840023966447,High
Legal secretary,Healthcare,Increasing,High,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76,-43.39885682420187,High
Aeronautical engineer,IT,Increasing,Low,60956.63,Master’s Degree,13,5944,7396,53.76,37.65,Germany,72.57,24.42799461641992,Low
Legal secretary,Education,Decreasing,Low,39123.32,Master’s Degree,20,6985,7832,77.5,28.99,USA,46.91,12.125984251968504,Low
"Surveyor, insurance",Manufacturing,Decreasing,High,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14,-55.22694598480181,Low
Dentist,Entertainment,Decreasing,High,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27,489.08829863603734,Low
Emergency planning/management officer,Education,Increasing,High,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56,-42.39875792469919,High
Visual merchandiser,Manufacturing,Decreasing,Moderate,95840.3,Associate Degree,16,1127,2375,4.29,69.03,China,48.19,110.73646850044365,Medium
Emergency planning/management officer,Manufacturing,Increasing,Moderate,97133.62,Bachelor’s Degree,17,4627,1684,89.49,43.94,China,34.83,-63.60492759887616,Medium
Housing manager/officer,Entertainment,Decreasing,High,114672.3,High School,12,2800,7964,94.02,20.19,UK,31.9,184.42857142857144,Low
"Geologist, wellsite",Entertainment,Increasing,Moderate,116427.68,PhD,7,1852,3700,32.89,5.54,Australia,56.02,99.78401727861771,Low
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate,43059.04,PhD,2,1824,7625,55.6,13.12,Australia,27.5,318.03728070175436,Low
Press photographer,Entertainment,Decreasing,Moderate,137894.14,Master’s Degree,3,8312,9700,59.95,95.76,India,56.06,16.698748796920114,High
"Biochemist, clinical",Entertainment,Increasing,Moderate,67908.84,Master’s Degree,2,1872,5314,93.9,3.19,China,74.67,183.86752136752136,Low
Town planner,Retail,Decreasing,High,107318.63,Associate Degree,11,7251,1090,15.25,55.15,UK,23.99,-84.96759067714798,Medium
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate,101322.09,Associate Degree,17,1044,8832,12.92,64.18,India,56.12,745.9770114942529,Medium
Audiological scientist,Transportation,Increasing,Low,109546.76,Master’s Degree,8,5379,8913,82.13,80.62,UK,38.87,65.69994422755158,High
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High,142660.31,Master’s Degree,2,2377,7307,4.29,16.88,India,56.57,207.4042911232646,Low
Music therapist,Education,Increasing,High,122569.29,High School,4,2661,5588,88.17,26.8,India,34.19,109.99624201428036,Low
Advertising copywriter,Retail,Decreasing,High,122668.89,Bachelor’s Degree,14,7291,7469,65.94,7.14,Brazil,74.45,2.441366067754766,Low
Commercial horticulturist,Education,Decreasing,Low,60874.45,Associate Degree,14,5892,369,43.78,95.96,UK,56.8,-93.73727087576374,High
Secondary school teacher,Finance,Increasing,Moderate,49705.11,PhD,4,5398,3531,20.77,60.11,Germany,49.88,-34.586884031122636,Medium
"Production assistant, radio",Healthcare,Increasing,Low,59923.23,High School,1,8039,3829,55.19,48.57,China,78.99,-52.36969772359746,Medium
Armed forces technical officer,Retail,Increasing,Moderate,52060.54,PhD,13,8317,9078,84.29,29.58,India,53.79,9.149933870385956,Low
Youth worker,Retail,Decreasing,Moderate,110077.96,Master’s Degree,18,4286,8248,24.27,20.75,USA,67.62,92.44050396640225,Low
Special effects artist,Education,Decreasing,Moderate,102393.43,PhD,0,348,5612,86.55,18.51,India,48.47,1512.6436781609195,Low
Ceramics designer,Transportation,Increasing,High,73318.63,Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69,480.7875084860828,Medium
Animal technologist,Transportation,Decreasing,Moderate,72953.11,Master’s Degree,3,1464,6938,54.24,1.9,Canada,44.82,373.90710382513663,Low
Firefighter,IT,Increasing,Low,34082.78,High School,4,2163,6734,87.31,90.32,Canada,48.98,211.32686084142395,High
Charity fundraiser,Education,Increasing,High,41523.13,Bachelor’s Degree,2,7568,9624,23.23,63.1,India,38.94,27.167019027484145,Medium
Housing manager/officer,Education,Decreasing,Moderate,92165.61,PhD,17,2582,5018,18.15,66.91,USA,34.93,94.34546862896978,Medium
Jewellery designer,Retail,Increasing,High,62229.93,High School,15,3369,3297,87.85,21.83,Canada,43.89,-2.13713268032057,Low
Ecologist,IT,Decreasing,Moderate,106122.32,Associate Degree,17,5407,4631,43.99,4.91,India,42.53,-14.351766228962456,Low
Operations geologist,Entertainment,Increasing,High,142549.39,High School,5,7635,3586,8.59,70.67,USA,26.25,-53.032089063523244,High
Patent attorney,Entertainment,Increasing,Low,76323.91,Associate Degree,18,1334,2198,12.72,21.4,China,32.51,64.76761619190404,Low
Media buyer,Transportation,Decreasing,Low,79665.42,PhD,20,1527,5198,76.29,41.06,China,69.95,240.40602488539622,Medium
Town planner,Entertainment,Increasing,Moderate,41105.21,Master’s Degree,14,8467,4447,36.16,67.4,China,26.15,-47.47844573048305,Medium
Tour manager,Finance,Increasing,High,121435.0,Associate Degree,5,6840,6963,1.36,93.49,UK,26.05,1.7982456140350878,High
Higher education careers adviser,Finance,Increasing,Low,124663.97,Master’s Degree,9,7445,9354,53.86,35.94,UK,75.44,25.64137004701142,Low
Fitness centre manager,Transportation,Increasing,Moderate,41067.95,Bachelor’s Degree,20,3104,7299,98.89,59.01,UK,69.5,135.14819587628867,Medium
Immunologist,IT,Decreasing,Low,148115.7,PhD,2,7341,8522,33.47,71.87,India,20.75,16.087726467783682,High
Contracting civil engineer,Finance,Increasing,High,38486.99,PhD,12,9860,1304,17.25,72.21,Canada,55.07,-86.77484787018255,High
Surgeon,Healthcare,Increasing,High,35799.45,PhD,2,6281,447,55.15,87.52,Brazil,37.04,-92.88329883776468,High
Environmental consultant,Transportation,Decreasing,Low,54495.6,Associate Degree,20,1830,3231,11.48,48.54,India,39.11,76.55737704918033,Medium
"Engineer, electrical",Manufacturing,Increasing,Low,65875.53,PhD,3,7659,7989,31.94,31.73,Brazil,58.24,4.308656482569527,Low
"Surveyor, commercial/residential",IT,Decreasing,Low,60038.64,Bachelor’s Degree,0,3922,327,52.4,88.22,India,26.59,-91.66241713411524,High
Customer service manager,Finance,Increasing,Low,50955.44,Bachelor’s Degree,20,2523,2066,74.75,76.44,Australia,79.71,-18.113357114546176,High
Microbiologist,Entertainment,Decreasing,Moderate,113064.81,Bachelor’s Degree,6,5766,1439,77.68,47.32,Germany,30.38,-75.04335761359695,Medium
Secretary/administrator,Retail,Increasing,Low,97806.7,Master’s Degree,4,1437,272,24.61,60.71,USA,28.52,-81.07167710508003,Medium
Armed forces operational officer,Finance,Increasing,Moderate,102858.12,High School,20,2105,7045,42.29,10.19,USA,20.25,234.6793349168646,Low
"Therapist, horticultural",Healthcare,Decreasing,Moderate,82449.59,PhD,11,8459,4383,19.56,46.59,Australia,30.99,-48.18536470031919,Medium
Architect,Healthcare,Increasing,Low,147313.07,Bachelor’s Degree,16,7292,2487,0.79,61.68,Germany,26.25,-65.89413055403182,Medium
"Engineer, structural",Education,Increasing,High,77792.33,Bachelor’s Degree,7,7836,6700,71.9,36.73,Australia,63.61,-14.497192445125066,Low
Trade union research officer,IT,Decreasing,High,82029.69,Master’s Degree,8,3144,3121,55.22,98.23,Brazil,60.82,-0.7315521628498728,High
Radio producer,Finance,Increasing,Moderate,105560.54,Master’s Degree,20,7406,3389,68.35,19.84,Brazil,48.26,-54.239805563056976,Low
Primary school teacher,Manufacturing,Decreasing,High,137071.8,High School,0,1171,8644,74.87,52.54,India,60.76,638.1725021349274,Medium
Site engineer,Finance,Increasing,Moderate,50632.02,Master’s Degree,1,1868,6591,85.62,30.27,Australia,26.77,252.8372591006424,Low
